date,time,open,high,low,close,vol
20080326,0,40650,41300,39850,40850,806066
20080325,0,40400,42000,40300,41200,1257342
20080324,0,38600,40000,38200,40000,1079625
20080321,0,38000,38250,37100,38000,1099404
20080320,0,37500,37850,36250,37100,1072860
20080319,0,38750,39050,37050,37950,1355849
20080318,0,39050,39200,36950,38000,934251
20080317,0,40000,40000,37500,38900,1248784
20080314,0,40400,41050,39150,40350,782395
20080313,0,40500,40950,39300,39900,1177971
20080312,0,40500,41250,40250,41000,1057467
20080311,0,39650,40300,38950,39250,698304
20080310,0,39800,40600,39700,39700,468085
20080307,0,41150,41150,39900,40150,747884
20080306,0,40800,41500,40300,41200,557381
20080305,0,41800,41850,40550,40750,558768
20080304,0,42000,42000,40750,41850,525962
20080303,0,41600,42550,40650,42000,757391
20080229,0,42900,42900,41700,42000,563378
20080228,0,43350,43700,42500,42750,753392
20080227,0,42000,43450,42000,42500,674587
20080226,0,42000,42500,41450,41800,562636
20080225,0,41300,42000,40800,42000,1018941
20080222,0,40900,41150,40050,40250,871396
20080221,0,40500,41750,40500,40900,1367424
20080220,0,42450,42450,40200,40200,2265125
20080219,0,41550,43500,41500,42150,2646598
20080218,0,43000,44000,42800,44000,990774
20080215,0,44100,44900,43150,43550,529432
20080214,0,44100,44850,43850,44300,760606
20080213,0,43800,44250,43050,43500,479514
20080212,0,43850,44550,43450,43800,541194
20080211,0,44500,44900,43500,43500,1352292
20080205,0,46000,46500,45500,45900,464800
20080204,0,46450,47300,45400,45900,647106
20080201,0,45600,46100,44650,45600,906216
20080131,0,45000,46450,44400,46000,935873
20080130,0,46000,46700,44550,45150,945522
20080129,0,45300,46100,45100,45850,651940
20080128,0,45500,45950,44650,45100,671970
20080125,0,47650,47900,45650,46450,1175359
20080124,0,47500,49300,46950,47700,1122300
20080123,0,47200,47750,46500,47500,897471
20080122,0,47100,47500,45800,46950,1174331
20080121,0,49500,49500,47000,48300,1140983
20080118,0,47900,49400,46100,48800,1077526
20080117,0,46000,48250,45300,47450,1215498
20080116,0,46400,46400,44600,45200,1114700
20080115,0,46300,46550,45000,46200,609477
20080114,0,45450,46700,45450,46200,578972
20080111,0,46000,47150,44850,45800,1058684
20080110,0,48100,48600,46200,46450,1413782
20080109,0,47800,49300,47000,48600,679749
20080108,0,50200,50200,48600,49200,718411
20080107,0,49600,50500,47450,50200,766400
20080104,0,48700,51000,48000,50000,1010399
20080103,0,49700,49700,47800,48300,541903
20080102,0,50700,50700,48050,49000,968726
20071228,0,50300,51200,49650,50400,647620
20071227,0,50700,51700,49850,51200,618821
20071226,0,52600,53200,51200,51700,733874
20071224,0,53100,54100,52100,52600,1402371
20071221,0,49800,54200,49800,53100,1795507
20071220,0,48250,50600,48250,49800,2180488
20071218,0,46900,48100,46200,48100,996686
20071217,0,47000,48250,46250,46950,728665
20071214,0,49500,49500,47450,47750,922958
20071213,0,49350,50100,47650,50000,1997492
20071212,0,49000,50200,48450,49250,1346666
20071211,0,48500,51300,48450,50000,2243900
20071210,0,48000,49350,47450,48850,1324173
20071207,0,45700,49300,45500,48850,2219366
20071206,0,44100,45900,44100,45450,1269697
20071205,0,43550,44500,42950,43850,1617454
20071204,0,43050,44700,43050,43550,1281211
20071203,0,43800,43900,42950,43350,921057
20071130,0,44200,44600,43350,43350,1204790
20071129,0,44750,45650,44200,44650,1270870
20071128,0,45300,45450,43700,44200,946337
20071127,0,44500,45500,42900,45000,733515
20071126,0,42600,45350,42550,44500,851291
20071123,0,43800,43950,42750,43650,920850
20071122,0,41300,43450,41300,42800,1013747
20071121,0,43850,44000,41600,42450,2117802
20071120,0,45000,45650,43700,44350,1123854
20071119,0,47850,47850,45100,45800,1535116
20071116,0,46950,47550,46750,46750,1376719
20071115,0,46900,48550,46750,47850,2414388
20071114,0,45200,47100,45000,47000,1604522
20071113,0,43600,45550,43300,44650,1519691
20071112,0,43000,43300,42650,43300,921819
20071109,0,42700,43450,42700,43250,756826
20071108,0,44300,44300,42900,43100,1439771
20071107,0,44500,45500,43900,44300,1368462
20071106,0,43950,44050,43100,43600,970947
20071105,0,43700,44100,43300,43950,1266260
20071102,0,45200,45200,43900,44150,2660840
20071101,0,45700,45700,44750,45300,702937
20071031,0,45000,45700,45000,45300,818875
20071030,0,45000,46000,45000,45400,1189103
20071029,0,43200,45800,43100,44750,2221927
20071026,0,41300,42900,41200,42400,697382
20071025,0,41700,42450,41100,41500,849124
20071024,0,41800,42300,41250,41500,818777
20071023,0,41750,42250,41500,41750,3021181
20071022,0,41000,41400,40300,40950,1247274
20071019,0,41500,42000,40800,41400,1000240
20071018,0,41850,42400,41450,41600,924912
20071017,0,42000,42100,40350,41450,2119250
20071016,0,42400,42650,41900,42050,1201387
20071015,0,42900,43400,42200,42350,731142
20071012,0,43050,43050,42250,42450,1089513
20071011,0,43800,43900,42350,43000,1852836
20071010,0,44350,44350,43350,44200,1401079
20071009,0,44900,45100,43650,43900,1386095
20071008,0,46200,46500,43800,44750,1991254
20071005,0,46000,46450,45450,45800,1297995
20071004,0,45500,45900,45000,45650,2147580
20071002,0,44500,45300,44000,44800,1888998
20071001,0,43500,44250,43350,43700,1024465
20070928,0,42900,43600,42900,43150,1140108
20070927,0,42450,43200,42050,42850,2008281
20070921,0,42650,42650,41200,41650,1769004
20070920,0,43200,43900,42000,42650,1572971
20070919,0,42800,43750,42800,42950,1362509
20070918,0,43000,43150,42450,42450,609890
20070917,0,42700,43200,42450,42750,566142
20070914,0,43100,43400,42500,42550,480200
20070913,0,42600,43050,42200,43050,636918
20070912,0,42700,43000,42150,42200,536250
20070911,0,43250,43250,42200,43000,672707
20070910,0,43000,43250,42500,42850,645219
20070907,0,43600,44550,42950,43650,1278734
20070906,0,43100,43950,42600,43850,4007639
20070905,0,45800,46350,45100,45550,1217072
20070904,0,44850,45700,44550,45300,1241021
20070903,0,44550,45100,44100,44450,567701
20070831,0,43900,44400,43600,44400,2155213
20070830,0,44600,44800,43950,44250,1392810
20070829,0,44200,44700,43650,44500,1172026
20070828,0,45150,45400,44650,45300,896147
20070827,0,45700,46200,44950,45100,423883
20070824,0,45250,45650,44350,45300,789265
20070823,0,45350,46250,45350,45600,894021
20070822,0,44600,45200,44300,45150,555266
20070821,0,44800,45550,43950,44900,578526
20070820,0,44500,45350,44000,44800,850072
20070817,0,44650,44750,43300,43900,851912
20070816,0,44500,45150,44050,44650,1711155
20070814,0,46700,46750,45900,46400,458783
20070813,0,45650,46750,45100,46750,669705
20070810,0,45800,45800,44900,45700,1034752
20070809,0,47100,47700,46050,47250,815525
20070808,0,46600,47350,46600,47050,1003662
20070807,0,47000,47000,46000,46450,938509
20070806,0,46900,46900,45850,46200,694280
20070803,0,48100,48150,47200,47800,707217
20070802,0,48600,48800,46400,47800,852028
20070801,0,49400,49950,46900,48600,1085759
20070731,0,50000,50600,49050,50000,832008
20070730,0,49400,50000,48050,49850,968606
20070727,0,51500,51800,49000,49600,1064702
20070726,0,52500,53400,51200,51800,1299578
20070725,0,50800,52300,50300,52100,926626
20070724,0,51600,53200,51300,51600,1933013
20070723,0,50500,51300,50400,50500,898583
20070720,0,50200,50700,49900,50100,684968
20070719,0,49500,50800,48900,49650,1267113
20070718,0,49000,49400,48250,49000,1077184
